"","has_preview_condition","reread_condition","linear","p_val"
"1","Gathering",0,"nonlinear",0.004
"2","Gathering",1,"nonlinear",0.258
"3","Hunting",0,"nonlinear",0.013
"4","Hunting",1,"nonlinear",0.118
