"","has_preview_condition","reread_condition","linear","p_val"
"1","Gathering",0,"nonlinear",0.01
"2","Gathering",1,"nonlinear",0.971
"3","Hunting",0,"nonlinear",0.009
"4","Hunting",1,"nonlinear",0.637
