,has_preview_condition,reread_condition,linear,surp_p_val,prev_surp_p_val,corrected_surp_p_val,corrected_prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,Gathering,0,linear,1.23327121961374e-195,3.35896055625201e-43,1.23327121961374e-194,3.35896055625201e-42,***,***,180,90,180,125,30,30
1,Gathering,0,nonlinear,0.0,0.0,0.0,0.0,***,***,260,90,260,125,30,30
2,Gathering,1,linear,5.5888976917716e-16,0.001101058058626,5.5888976917716e-15,0.01101058058626,***,*,180,550,180,585,30,30
3,Gathering,1,nonlinear,0.0,8.53695960682521e-05,0.0,0.0008536959606825211,***,***,260,550,260,585,30,30
4,Hunting,0,linear,9.11260586942543e-128,3.25436254173016e-39,9.11260586942543e-127,3.2543625417301595e-38,***,***,670,90,670,125,30,30
5,Hunting,0,nonlinear,0.0,0.0,0.0,0.0,***,***,750,90,750,125,30,30
6,Hunting,1,linear,1.34109984074899e-08,0.0606213934351092,1.34109984074899e-07,0.606213934351092,***,(.),670,550,670,585,30,30
7,Hunting,1,nonlinear,0.0,0.0228067536737039,0.0,0.228067536737039,***,(.),750,550,750,585,30,30
