"","has_preview_condition","reread_condition","linear","p_val"
"1","Gathering",0,"nonlinear",0.217
"2","Gathering",1,"nonlinear",0.652
"3","Hunting",0,"nonlinear",0.028
"4","Hunting",1,"nonlinear",0.868
