,has_preview_condition,reread_condition,linear,surp_p_val,prev_surp_p_val,corrected_surp_p_val,corrected_prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,y_surp,x_prev_surp,y_prev_surp,symbol_size,font_size
0,Gathering,0,linear,0.0,3.20971925362804e-157,0.0,3.2097192536280403e-156,***,***,180,90,180,125,30,30
1,Gathering,0,nonlinear,0.0,0.0,0.0,0.0,***,***,260,90,260,125,30,30
2,Gathering,1,linear,1.7581395516596898e-43,3.07326616759979e-12,1.75813955165969e-42,3.0732661675997896e-11,***,***,180,550,180,585,30,30
3,Gathering,1,nonlinear,0.0,0.0,0.0,0.0,***,***,260,550,260,585,30,30
4,Hunting,0,linear,2.9614014284218996e-274,1.13006571826392e-112,2.9614014284219e-273,1.13006571826392e-111,***,***,670,90,670,125,30,30
5,Hunting,0,nonlinear,0.0,0.0,0.0,0.0,***,***,750,90,750,125,30,30
6,Hunting,1,linear,1.12439814802493e-17,1.7749692375468102e-09,1.12439814802493e-16,1.7749692375468104e-08,***,***,670,550,670,585,30,30
7,Hunting,1,nonlinear,0.0,-1.443008694757e-07,0.0,0.0001065245687699166,***,***,750,550,750,585,30,30
