"","has_preview_condition","reread_condition","linear","p_val"
"1","Gathering",0,"nonlinear",0.629
"2","Gathering",1,"nonlinear",0.513
"3","Hunting",0,"nonlinear",0.003
"4","Hunting",1,"nonlinear",0.589
